dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cleaningMethod|N|||text||70|1|N|||||||||E|N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|900|Left|200|Left||||Active||NULL|AVP
avp/quantityOfShelves|N|||integer||4|1||||||||||E|N|en|Quantity Of Shelves|quantityOfShelves<br>Qualifier: AVP618<br>Indicates the number of shelves the product contains.|Horizontal|Integer|1700|Left|200|Left||||Active||NULL|AVP
isAssemblyRequired|N|||boolean|||||||||||||E|N|en|Assembly Required|Indicates that the Items in the package need to be assembled for use.|Horizontal|Boolean|1000|Left|200|Left||||Active||NULL|150
kroFurnitureStyle|Y||2|text||70|1|N|KroFurnitureStyleVV||||||||E|N|en|Furniture Style|Describes the style of the furniture.|Horizontal|Multi_Select_List|1200|Left|200|Left||||Active||NULL|121; PI152_QA10
kroMattressCoreConstruction|N|||text||70|1|N|||||||||E|N|en|Mattress Core Construction|Type of mattress.|Horizontal|Text|1800|Left|200|Left||||Active||NULL|308
kroMattressFeel|N||1|text||70|1|N|||||||||E|N|en|Mattress Feel|Descriptive text indicating the softness/firmness of the mattress.|Horizontal|Text|1600|Left|200|Left||||Active||NULL|306
kroSafetyFeatures|N|||text||70|1|N|KroSafetyFeaturesVV||||||||E|N|en|Safety Features|A URL linking to the source file for an image not intended for publication, but rather for identification or informational purposes (product details printed on packaging, barcode/tag, safety warning, etc.)|Horizontal|Dropdown|1900|Left|200|Left||||Active||NULL|407; PI152_QA11
kroStyleDescription|N||1|text||70|1|N|||||||||E|N|en|Style Description|Describes the style of the product.|Horizontal|Text|1300|Left|200|Left||||Active||NULL|148
kroTextileMaterialContent|N||1|text||70|1|N|||||||||E|N|en|Textile Material|A construction material used in the indicated part of this product.|Horizontal|Text|1400|Left|200|Left||||Active||NULL|105
kroTextileMaterialPercentage|N||1|float|5|5|2|N|||||||||E|N|en|Percentage|Percentage of a construction material contributing to a composite, blend, or alloy.|Horizontal|Float|1500|Left|200|Left||||Active||NULL|106
nonPackagedSizeDimension/descriptiveSizeDimension|Y|nonPackagedSizeDimension|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Descriptive Size Dim|descriptiveSizeDimension<br>Qualifier: CRE047<br>The textual representation of the size dimension specified by the size type.|LoopGroup|Text|200|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeDimension|N|nonPackagedSizeDimension|100|float|15|30|15|||M|uom|text||5|2|uom|R|N|en|Size Dimension|The numerical size measurement of the size dimension specified by the size type.|LoopGroup|Float|300|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeSystemCode|N|nonPackagedSizeDimension|100|text||80|1||SizeSystem||||||||R|N|en|Size System|sizeSystem<br>Qualifier: CRE050<br>The system that is used to define the size. It is used in conjunction with size group to completely de-fine the size dimension.|LoopGroup|DropDown|400|Right|200|Left||||Active|O|NULL|MJR3
nonPackagedSizeDimension/sizeTypeCode|N|nonPackagedSizeDimension|100|text||80|1||SizeType||||||||R|N|en|Size Type|sizeType<br>Qualifier: CRE046<br>The type of size dimension being specified by the size measurement.|LoopGroup|DropDown|500|Right|200|Left||||Active|O|NULL|MJR3
productSize/code|N|productSize|100|text||50|1|N|||||||||E|N|en|Product Size Code|The value from an industry specific code list required to identify the size of the trade item. Can be a combination of values which fully describes the trade item size.|LoopGroup|Text|600|Left|200|Left||||Active||NULL|MISSING; PI153_QA03
productSize/descriptiveSize|Y|productSize|100|text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Descriptive Size|The textual representation of all size dimensions concatenated into a single descriptor. <br>S, M, L, XL, 31 x 34, 29 x 32, etcetera.|LoopGroup|Text|800|Left|200|Left||||Active||NULL|508; PI52_QA19; PI152_QA21
productSize/maintenanceAgency|N|productSize|100|text||3|1|N|ProductSizeCodeAgencies||||||||E|N|en|Product Size Code Maintenance Agency|The parties controlling the code list for size.|LoopGroup|Dropdown|700|Left|200|Left||||Active||MANDATORY_BEFORE|MISSING; PI153_QA03
sizeGroupCode|N|||text||80|1||SizeGroup||||||||R|N|en|Size Group|sizeGroup<br>Qualifier: CRE045<br>A description of the variable size that is necessary to uniquely specify the size of the item in conjunction with the non-packaged size dimension.|Horizontal|DropDown|100|Right|200|Left||||Active||NULL|MJR3
tradeItemFinishDescription|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Finish Description|Attribute which defines the outer surface/appearance of the product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|120; PI52_QA19
